SIHD_INV_DATE,QTY
2019-04-30,462.0
2019-05-31,546.0
2019-06-30,630.0
2019-07-31,504.0
2019-08-31,504.0
2019-09-30,756.0
2019-10-31,672.0
2019-11-30,504.0
2019-12-31,420.0
2020-01-31,420.0
2020-02-29,504.0
2020-03-31,294.0
2020-04-30,
2020-05-31,420.0
2020-06-30,294.0
2020-07-31,630.0
2020-08-31,378.0
2020-09-30,504.0
2020-10-31,420.0
2020-11-30,504.0
2020-12-31,462.0
2021-01-31,588.0
2021-02-28,546.0
2021-03-31,588.0
2021-04-30,462.0
2021-05-31,588.0
2021-06-30,840.0
2021-07-31,840.0
