SIHD_INV_DATE,QTY,prediction
03/31/19,3654,3199
04/15/19,4956,3190
04/30/19,4872,3180
05/15/19,5124,3171
05/31/19,3948,3161
06/15/19,3276,3151
06/30/19,3570,3142
07/15/19,4914,3132
07/31/19,2436,3123
08/15/19,2394,3113
08/31/19,2772,3104
09/15/19,2772,3094
09/30/19,2100,3084
10/15/19,2184,3075
10/31/19,2604,3065
11/15/19,2730,3056
11/30/19,1764,3046
12/15/19,2100,3036
12/31/19,1344,3027
01/15/20,2226,3017
01/31/20,3696,3008
02/15/20,2646,2998
02/29/20,5292,2989
03/15/20,1596,2979
03/31/20,2856,2969
04/15/20,4956,2960
04/30/20,3234,2950
05/15/20,630,2941
05/31/20,1428,2931
06/15/20,2058,2921
06/30/20,2688,2912
07/15/20,2226,2902
07/31/20,2394,2893
08/15/20,882,2883
08/31/20,2646,2874
09/15/20,2856,2864
09/30/20,3192,2854
10/15/20,3192,2845
10/31/20,3906,2835
11/15/20,2226,2826
11/30/20,1848,2816
12/15/20,2226,2806
12/31/20,798,2797
01/15/21,3444,2787
01/31/21,4326,2778
02/15/21,4284,2768
02/28/21,3528,2759
03/15/21,4242,2749
03/31/21,3276,2739
04/15/21,3234,2730
04/30/21,882,2720
05/15/21,966,2711
05/31/21,1194,2701
06/15/21,2310,2691
06/30/21,5250,2682
07/15/21,6258,2672
07/31/21,,2663
08/15/21,,2653
08/31/21,,2644
09/15/21,,2634
09/30/21,,2624
10/15/21,,2615
10/31/21,,2605
11/15/21,,2596
,,
