SIHD_INV_DATE,QTY,NET,QTY2
2019-04-07,84.0,22371.0,336.0
2019-04-14,378.0,53131.0,420.0
2019-04-21,420.0,55927.0,420.0
2019-04-28,336.0,58723.5,546.0
2019-05-05,420.0,55927.0,420.0
2019-05-12,336.0,47538.0,336.0
2019-05-19,252.0,39149.0,294.0
2019-05-26,252.0,67113.0,504.0
2019-06-02,210.0,27964.0,294.0
2019-06-09,168.0,33052.5,210.0
2019-06-16,210.0,41315.5,420.0
2019-06-23,210.0,35807.0,336.0
2019-06-30,210.0,35807.0,336.0
2019-07-07,336.0,49578.5,420.0
2019-07-14,168.0,24789.5,210.0
2019-07-21,294.0,41315.5,336.0
2019-07-28,336.0,49578.5,378.0
2019-08-04,126.0,24789.5,252.0
2019-08-11,294.0,41315.5,336.0
2019-08-18,0.0,33052.0,420.0
2019-08-25,294.0,49578.0,378.0
2019-09-01,0.0,27544.0,336.0
2019-09-08,0.0,79876.5,378.0
2019-09-15,0.0,77122.0,462.0
2019-09-22,126.0,30298.0,252.0
2019-09-29,336.0,44070.0,336.0
2019-10-06,168.0,38561.0,336.0
2019-10-13,0.0,16526.0,252.0
2019-10-20,126.0,41315.5,420.0
2019-10-27,84.0,27544.0,210.0
2019-11-03,0.0,52333.0,378.0
2019-11-10,126.0,30298.0,294.0
2019-11-17,210.0,27544.0,210.0
2019-11-24,252.0,38561.0,336.0
2019-12-01,126.0,22035.0,210.0
2019-12-08,84.0,16526.0,210.0
2019-12-15,210.0,27544.0,210.0
2019-12-22,210.0,33052.0,252.0
2019-12-29,126.0,22035.0,168.0
2020-01-05,0.0,27544.0,252.0
2020-01-12,0.0,22035.0,210.0
2020-01-19,126.0,27544.0,420.0
2020-01-26,210.0,27544.0,252.0
2020-02-02,168.0,44069.5,378.0
2020-02-09,252.0,35806.5,294.0
2020-02-16,210.0,49578.0,294.0
2020-02-23,168.0,38561.0,294.0
2020-03-01,294.0,44070.0,336.0
2020-03-08,378.0,49579.0,378.0
2020-03-15,378.0,52333.0,420.0
2020-03-22,210.0,49579.0,378.0
2020-03-29,0.0,,378.0
2020-04-05,0.0,,378.0
2020-04-12,0.0,,378.0
2020-04-19,0.0,,462.0
2020-04-26,0.0,,462.0
2020-05-03,0.0,,420.0
2020-05-10,0.0,,294.0
2020-05-17,0.0,,336.0
2020-05-24,0.0,,420.0
2020-05-31,0.0,41315.5,336.0
2020-06-07,42.0,24789.5,210.0
2020-06-14,126.0,16526.0,210.0
2020-06-21,126.0,24789.5,210.0
2020-06-28,126.0,22035.0,210.0
2020-07-05,126.0,27544.0,252.0
2020-07-12,42.0,41315.0,378.0
2020-07-19,0.0,33052.0,378.0
2020-07-26,42.0,33052.5,378.0
2020-08-02,168.0,27544.0,210.0
2020-08-09,210.0,33052.0,294.0
2020-08-16,168.0,22035.0,252.0
2020-08-23,84.0,22035.0,294.0
2020-08-30,0.0,11017.0,420.0
2020-09-06,126.0,22035.0,252.0
2020-09-13,126.0,41315.5,336.0
2020-09-20,210.0,38561.0,294.0
2020-09-27,210.0,27544.0,210.0
2020-10-04,0.0,49578.0,378.0
2020-10-11,210.0,30298.0,252.0
2020-10-18,252.0,38561.0,336.0
2020-10-25,168.0,38561.5,336.0
2020-11-01,210.0,52332.5,462.0
2020-11-08,252.0,33052.0,252.0
2020-11-15,294.0,55088.0,420.0
2020-11-22,210.0,30298.0,378.0
2020-11-29,126.0,27544.0,294.0
2020-12-06,0.0,33052.5,252.0
2020-12-13,0.0,33052.0,420.0
2020-12-20,336.0,44070.0,420.0
2020-12-27,0.0,27544.0,294.0
2021-01-03,0.0,11017.0,462.0
2021-01-10,126.0,22035.0,210.0
2021-01-17,0.0,16526.0,294.0
2021-01-24,126.0,44070.0,336.0
2021-01-31,294.0,55087.0,294.0
2021-02-07,336.0,49578.5,336.0
2021-02-14,336.0,46824.0,336.0
2021-02-21,420.0,55087.0,420.0
2021-02-28,336.0,55087.0,420.0
2021-03-07,294.0,44069.5,336.0
2021-03-14,168.0,30298.0,294.0
2021-03-21,294.0,49578.0,378.0
2021-03-28,210.0,38561.0,252.0
2021-04-04,126.0,55087.0,462.0
2021-04-11,336.0,55087.0,336.0
2021-04-18,294.0,49578.0,420.0
2021-04-25,336.0,49578.0,336.0
2021-05-02,0.0,16526.0,378.0
2021-05-09,0.0,,336.0
2021-05-16,0.0,,420.0
2021-05-23,0.0,,462.0
2021-05-30,0.0,63350.0,378.0
2021-06-06,0.0,,462.0
2021-06-13,0.0,78302.5,420.0
2021-06-20,0.0,110174.0,336.0
2021-06-27,0.0,33052.0,294.0
2021-07-04,294.0,55087.5,504.0
2021-07-11,462.0,60596.0,462.0
2021-07-18,420.0,55087.0,420.0
2021-07-25,420.0,55087.0,420.0
2021-08-01,420.0,55087.0,420.0
